account,amount,currency,direction,Cash in/Cash out,effective_date,description,label
a 1,"1,814.39",USD,credit,Cash in,2023-02-28,cbl hp bul adg,a
a 1,16.00,USD,debit,Cash out,2023-02-28,amb asg cbe cbr avd cpf,b
a 1,16.00,USD,debit,Cash out,2023-02-28,amb asg cbe cbr avd bxa,b
a 1,246.75,USD,debit,Cash out,2023-02-28,amb asg ub dp avd cgb,b
a 1,4.80,USD,debit,Cash out,2023-02-28,amb asg ip bip avd xl,b
a 1,"3,420.93",USD,debit,Cash out,2023-02-28,bjx as,c
a 1,"8,789.40",USD,credit,Cash in,2023-02-28,awi ael auo ao btq bcd,d
a 1,4.20,USD,debit,Cash out,2023-02-28,amb asg cbe cw avd bsc,b
a 1,3.60,USD,debit,Cash out,2023-02-28,amb asg ip bmm avd bkf,b
a 1,15.00,USD,debit,Cash out,2023-02-28,amb asg cbe cbr avd aiu,b
a 1,"71,792.42",USD,credit,Cash in,2023-02-28,awi ael auo clr btq bci,d
a 1,432.63,USD,debit,Cash out,2023-02-28,amb asg qv bsa avd df,b
a 1,100.00,USD,debit,Cash out,2023-02-28,amb asg ub bsw avd gg,b
a 1,200.00,USD,debit,Cash out,2023-02-28,amb asg adq bjp avd blh,b
a 1,30.32,USD,debit,Cash out,2023-02-28,amb asg ub dp avd y,b
a 1,222.92,USD,debit,Cash out,2023-02-28,amb asg ip abx avd ds,b
a 1,400.00,USD,debit,Cash out,2023-02-28,amb asg ub dp avd awq,b
a 1,161.85,USD,debit,Cash out,2023-02-28,amb asg cma awc avd crh,b
a 1,"146,542.42",USD,credit,Cash in,2023-02-28,awi ael auo clr btq bci,d
a 1,190.87,USD,debit,Cash out,2023-02-28,amb asg ub dp avd acm,b
a 1,190.87,USD,debit,Cash out,2023-02-28,amb asg ub dp avd ccg,b
a 1,4.00,USD,debit,Cash out,2023-02-28,amb asg bwx agq avd qp,b
a 1,"124,281.05",USD,credit,Cash in,2023-02-28,buy aq vj,a
a 2,220.84,USD,credit,Cash in,2023-02-28,cbl hp bul fa,a
a 2,"42,430.22",USD,credit,Cash in,2023-02-28,buy aq clp,a
a 3,265.03,USD,debit,Cash out,2023-02-28,yg kr brz,c
a 3,"6,960.28",USD,credit,Cash in,2023-02-28,nj cdc ha avd bbe,d
a 3,"2,223.00",USD,credit,Cash in,2023-02-28,ky aqg clr ai bmu,d
a 3,4.67,USD,credit,Cash in,2023-02-28,coe crp aax aev xm cma asa ama crp ou,e
a 3,"2,708.29",USD,credit,Cash in,2023-02-28,nj cdc ha avd mv,d
a 3,740.52,USD,debit,Cash out,2023-02-28,yg bcc bac,c
