account,amount,currency,direction,Cash in/Cash out,effective_date,description,label
a 1,"1,814.39",USD,credit,Cash in,2023-02-28,Vkgin Lotgtik YKZZRKSKTZ 40,Income
a 1,16.00,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK J Laxahuzz 230227 I1787393,LSP Reimbursements Receivable
a 1,16.00,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK J Laxahuzz 230227 I1787379,LSP Reimbursements Receivable
a 1,246.75,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK R UqunHxuc 230227 I1785809,LSP Reimbursements Receivable
a 1,4.80,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK G Gtack 230227 I1786344,LSP Reimbursements Receivable
a 1,"3,420.93",USD,debit,Cash out,2023-02-28,INKIQ (YAHYZOZAZK),Payroll
a 1,"8,789.40",USD,credit,Cash in,2023-02-28,IUBKXKJ IGXK RRI 02/27/23 230228 SR,Financing
a 1,4.20,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK J Raiinkyo 230227 I1787397,LSP Reimbursements Receivable
a 1,3.60,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK G Sorrkx 230227 I1786311,LSP Reimbursements Receivable
a 1,15.00,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK J Laxahuzz 230227 I1787468,LSP Reimbursements Receivable
a 1,"71,792.42",USD,credit,Cash in,2023-02-28,IUBKXKJ IGXK RRI GIN 230228 SGXH001,Financing
a 1,432.63,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK C Qcut 230227 I1787513,LSP Reimbursements Receivable
a 1,100.00,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK R Yinsozz 230227 I1785835,LSP Reimbursements Receivable
a 1,200.00,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK K Bgxmgy 230227 I1787267,LSP Reimbursements Receivable
a 1,30.32,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK R UqunHxuc 230227 I1785819,LSP Reimbursements Receivable
a 1,222.92,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK G Xuyktlkr 230227 I1786634,LSP Reimbursements Receivable
a 1,400.00,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK R UqunHxuc 230227 I1785760,LSP Reimbursements Receivable
a 1,161.85,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK P Sgjrkx 230227 I1787561,LSP Reimbursements Receivable
a 1,"146,542.42",USD,credit,Cash in,2023-02-28,IUBKXKJ IGXK RRI GIN 230228 SGXH001,Financing
a 1,190.87,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK R UqunHxuc 230227 I1787517,LSP Reimbursements Receivable
a 1,190.87,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK R UqunHxuc 230227 I1787519,LSP Reimbursements Receivable
a 1,4.00,USD,debit,Cash out,2023-02-28,XGSV XKOSHAXYK I JSgrzg 230227 I1787462,LSP Reimbursements Receivable
a 1,"124,281.05",USD,credit,Cash in,2023-02-28,YZXOVK ZXGTYLKX YZ-O0A1F8B9S6F2,Income
