account,amount,direction,description,label,day_of_week,bank
a 1,7.5035046020544,credit,cbl hp bul adg,a,Tuesday,a
a 1,2.772588722239781,debit,amb asg cbe cbr avd cpf,b,Tuesday,a
a 1,2.772588722239781,debit,amb asg cbe cbr avd bxa,b,Tuesday,a
a 1,5.508375678313591,debit,amb asg ub dp avd cgb,b,Tuesday,a
a 1,1.5686159179138452,debit,amb asg ip bip avd xl,b,Tuesday,a
a 1,8.137667722915,debit,bjx as,c,Tuesday,a
a 1,9.08130172896378,credit,awi ael auo ao btq bcd,d,Tuesday,a
a 1,1.4350845252893227,debit,amb asg cbe cw avd bsc,b,Tuesday,a
a 1,1.2809338454620642,debit,amb asg ip bmm avd bkf,b,Tuesday,a
a 1,2.70805020110221,debit,amb asg cbe cbr avd aiu,b,Tuesday,a
a 1,11.181534178432662,credit,awi ael auo clr btq bci,d,Tuesday,a
a 1,6.069882859242089,debit,amb asg qv bsa avd df,b,Tuesday,a
a 1,4.605170185988092,debit,amb asg ub bsw avd gg,b,Tuesday,a
a 1,5.298317366548036,debit,amb asg adq bjp avd blh,b,Tuesday,a
a 1,3.411807560774171,debit,amb asg ub dp avd y,b,Tuesday,a
a 1,5.406812962701336,debit,amb asg ip abx avd ds,b,Tuesday,a
a 1,5.991464547107982,debit,amb asg ub dp avd awq,b,Tuesday,a
a 1,5.086669980372253,debit,amb asg cma awc avd crh,b,Tuesday,a
a 1,11.895070221839914,credit,awi ael auo clr btq bci,d,Tuesday,a
a 1,5.251592568041801,debit,amb asg ub dp avd acm,b,Tuesday,a
a 1,5.251592568041801,debit,amb asg ub dp avd ccg,b,Tuesday,a
a 1,1.3862943611198906,debit,amb asg bwx agq avd qp,b,Tuesday,a
a 1,11.730300812135601,credit,buy aq vj,a,Tuesday,a
a 2,5.397438457415844,credit,cbl hp bul fa,a,Tuesday,a
a 2,10.655616123193534,credit,buy aq clp,a,Tuesday,a
a 3,5.579843027125901,debit,yg kr brz,c,Tuesday,a
a 3,8.847974982404322,credit,nj cdc ha avd bbe,d,Tuesday,a
a 3,7.706612913964197,credit,ky aqg clr ai bmu,d,Tuesday,a
a 3,1.541159071680806,credit,coe crp aax aev xm cma asa ama crp ou,e,Tuesday,a
a 3,7.904072718401827,credit,nj cdc ha avd mv,d,Tuesday,a
a 3,6.607352642120976,debit,yg bcc bac,c,Tuesday,a
a 3,7.115484639710624,debit,amb asg aic ov avd bvf,b,Tuesday,a
b 4,8.540841356321945,credit,cbl hp bul bpb arh,a,Tuesday,b
b 5,9.970038578476725,credit,cbl hp bul yh arh,a,Tuesday,b
a 1,7.015236544259938,debit,bfg aof pi bfg aof xp,f,Monday,a
a 1,4.442651256490317,debit,amb asg bwx bqe amp bek,b,Monday,a
a 1,5.0007869580414415,debit,amb asg cma bop amp bii,b,Monday,a
a 1,2.716018370751387,debit,amb asg cma ayv amp asd,b,Monday,a
a 1,5.834547544535754,debit,amb asg bw aqi amp cdl,b,Monday,a
a 1,4.685459017216894,debit,amb asg cma bop amp bxv,b,Monday,a
a 1,4.904756125442696,debit,amb asg ub dp amp bha,b,Monday,a
a 1,1.791759469228055,debit,amb asg bw cow amp bsu,b,Monday,a
a 1,5.833347679010845,debit,amb asg cbe ckf amp am,b,Monday,a
a 1,4.999169815986978,debit,amb asg cma bop amp cqw,b,Monday,a
a 1,1.9459101490553132,debit,amb asg gh cli amp bjs,b,Monday,a
a 1,4.029272565478386,debit,amb asg cma mr mj amp alx,b,Monday,a
a 1,5.834547544535754,debit,amb asg bw aqi amp byw,b,Monday,a
a 1,2.800325477211381,debit,amb asg bw cow amp cpl,b,Monday,a
a 1,2.4898941912990393,debit,amb asg afw bnj amp bqc,b,Monday,a
a 1,4.6016640466588035,debit,amb asg cma mr mj amp ahz,b,Monday,a
a 1,4.442651256490317,debit,amb asg bwx bqe amp cox,b,Monday,a
a 1,4.681204872264089,debit,amb asg cma bop amp dq,b,Monday,a
a 1,5.991464547107982,debit,amb asg ub dp amp buc,b,Monday,a
a 1,6.263398262591624,debit,amb asg bw cow amp cej,b,Monday,a
a 1,5.388020949629816,debit,amb asg ub dp amp gw,b,Monday,a
a 1,4.0943445622221,debit,amb asg cma mr mj amp g,b,Monday,a
a 1,5.040711761678725,debit,amb asg ub dp amp anu,b,Monday,a
a 1,11.859925588399332,debit,yg bcc bnz,c,Monday,a
